"administrative level 1 (code)","administrative level 1","Maize 2005","Maize 2006"
"2211","Adamawa","151,1","155,5"
"2212","Akwa Ibom","54","55,1"
"2213","Anambra","28,71","35,88"
"2215","Benue","104,11","104,15"
"2216","Borno","258,82","344,18"
"2217","Cross River","58,02","63,08"
"2218","Delta","66,34","78,49"
"2219","Edo","44,7","45,05"
"2221","FCT, Abuja","5","5,01"
"2222","Imo","70,18","69,99"
"2223","Jigawa","7,2","6,28"
"2224","Kaduna","316,16","316,2"
"2225","Kano","62,8","66,87"
"2226","Katsina","98,98","140,99"
"2227","Kebbi","27","31,5"
"2228","Kogi","132,14","130,53"
"2229","Kwara","64,05","59,79"
"2230","Lagos","0,66","0,74"
"2231","Niger","319,69","320,1"
"2232","Ogun","59,12","70,36"
"2234","Osun","40,97","44,16"
"2235","Oyo","156,45","186,22"
"2239","Taraba","265","263,18"
"2240","Yobe","14","20"
"65698","Abia","36,2","37,65"
"65699","Bauchi","102,42","106,38"
"65700","Bayelsa","1,37","1,53"
"65701","Ebonyi","26","31,2"
"65702","Ekiti","43,82","53,18"
"65703","Enugu","47,73","57,27"
"65704","Gombe","122,64","116,44"
"65705","Nassarawa","56,87","68,69"
"65706","Ondo","87,31","82,23"
"65707","Plateau","160,35","156,29"
"65708","Rivers","56,82","64,55"
"65709","Sokoto","10,79","9,87"
"65710","Zamfara","46","46"
